和名,正式名,a,b,,,,,,,,,,,,,,,,
ハクテンハタ,Epinephelus caeruleopunctatus,0.9585,3.1097,,,,,,,,,,,,,,,,
アカハタ,Epinephelus fasciatus,1.4245,3.0401,,,,,,,,,,,,,,,,
ヒレグロハタ,Epinephelus howlandi,1.2827,3.0800,,,,,,,,,,,,,,,,
ホシヒレグロハタ,Epinephelus corallicola,1.0342,3.1113,,,,,,,,,,,,,,,,
ヤイトハタ,Epinephelus malabaricus,2.1639,2.9239,,,,,,,,,,,,,,,,
キビレハタ,Epinephelus macrospilos,1.4424,3.0677,,,,,,,,,,,,,,,,
シロブチハタ,Epinephelus maculatus,2.7710,2.8262,,,,,,,,,,,,,,,,
マダラハタ,Epinephelus polyphekadion,1.0951,3.1259,,,,,,,,,,,,,,,,
カンモンハタ,Epinephelus merra,3.3980,2.7648,,,,,,,,,,,,,,,,
スミツキハタ,Epinephelus melanostigma,1.3262,3.0966,,,,,,,,,,,,,,,,
ヒトミハタ,Epinephelus tauvina,1.0210,3.1213,,,,,,,,,,,,,,,,
マダラタルミ,Macolor niger,2.3026,2.9901,,,,,,,,,,,,,,,,
ホホスジタルミ,Macolor macularis,3.2701,2.9218,,,,,,,,,,,,,,,,
ヨスジフエダイ,Lutjanus kasmira,2.1915,2.9653,,,,,,,,,,,,,,,,
ニセクロホシフエダイ,Lutjanus fulviflamma,3.0698,2.8615,,,,,,,,,,,,,,,,
アミメフエダイ,Lutjanus decussatus,4.9757,2.7109,,,,,,,,,,,,,,,,
ナミフエダイ,Lutjanus rivulatus,1.3260,3.1608,,,,,,,,,,,,,,,,
ヒメフエダイ,Lutjanus gibbus,1.6860,3.0825,,,,,,,,,,,,,,,,
オキフエダイ,Lutjanus fulvus,3.3682,2.8463,,,,,,,,,,,,,,,,
キュウセンフエダイ,Lutjanus boutton,1.1188,3.1849,,,,,,,,,,,,,,,,
イトヒキフエダイ,Symphorus nematophorus,4.2938,2.7959,,,,,,,,,,,,,,,,
アオチビキ,Aprion virescens,2.0240,2.9290,,,,,,,,,,,,,,,,
イシフエダイ,Aphareus furca,5.6182,2.6698,,,,,,,,,,,,,,,,
オオグチイシチビキ,Aphareus rutilans,3.0142,2.8144,,,,,,,,,,,,,,,,
ハナフエダイ,Pristipomoides argyrogrammicus,2.4912,2.9526,,,,,,,,,,,,,,,,
